"","date_1","date_2","valid","area","mid","month","year","time","cumulative"
"1",2018-02-13,2018-02-25,1,0.0335360653282143,2018-02-19,2,2018,12,0.0335360653282143
"2",2017-03-30,2017-05-02,2,0.0372577342252247,2017-04-15,4,2017,33,0.070793799553439
"3",2018-04-08,2018-04-21,1,0.0383371944967425,2018-04-14,4,2018,13,0.109130994050181
"4",2018-01-16,2018-02-28,2,0.0414376397412736,2018-02-07,2,2018,43,0.150568633791455
"5",2017-02-27,2017-03-16,2,0.0643358349599876,2017-03-07,3,2017,17,0.214904468751443
"6",NA,NA,0,0.0669525954499375,NA,NA,NA,NA,0.28185706420138
"7",NA,NA,0,0.0731770033383276,NA,NA,NA,NA,0.355034067539708
"8",2016-08-24,2016-09-15,2,0.0770174811225385,2016-09-04,9,2016,22,0.432051548662246
"9",2016-08-24,2016-09-15,2,0.0774829090917949,2016-09-04,9,2016,22,0.509534457754041
"10",2016-08-24,2016-09-15,2,0.0781309579027118,2016-09-04,9,2016,22,0.587665415656753
"11",NA,NA,0,0.0811643317366019,NA,NA,NA,NA,0.668829747393355
"12",2016-08-24,2016-09-15,2,0.0885303666013293,2016-09-04,9,2016,22,0.757360113994684
"13",2017-11-08,2017-11-17,2,0.0928586441018822,2017-11-12,11,2017,9,0.850218758096566
"14",NA,NA,0,0.0930798262464814,NA,NA,NA,NA,0.943298584343048
"15",NA,NA,0,0.0944378748697229,NA,NA,NA,NA,1.03773645921277
"16",2017-02-27,2017-03-16,2,0.102615369156771,2017-03-07,3,2017,17,1.14035182836954
"17",2017-06-05,NA,0,0.10434442377314,NA,NA,NA,NA,1.24469625214268
"18",2016-09-18,2016-09-23,2,0.107391317051649,2016-09-20,9,2016,5,1.35208756919433
"19",2018-08-26,2018-09-11,1,0.112602902088035,2018-09-03,9,2018,16,1.46469047128237
"20",2017-05-15,2017-05-19,2,0.117692392250337,2017-05-17,5,2017,4,1.5823828635327
"21",2017-05-15,2017-05-19,2,0.1203099333975,2017-05-17,5,2017,4,1.7026927969302
"22",2017-02-10,2017-02-15,2,0.120423560340516,2017-02-12,2,2017,5,1.82311635727072
"23",2017-02-15,2017-02-23,2,0.121808647114178,2017-02-19,2,2017,8,1.9449250043849
"24",2017-11-27,2017-12-19,2,0.128501074863272,2017-12-08,12,2017,22,2.07342607924817
"25",NA,NA,0,0.12958623694703,NA,NA,NA,NA,2.2030123161952
"26",2016-08-24,2016-09-15,2,0.131401498644706,2016-09-04,9,2016,22,2.3344138148399
"27",2018-03-04,2018-03-11,2,0.13578719296777,2018-03-08,3,2018,7,2.47020100780767
"28",NA,NA,0,0.136472898424137,NA,NA,NA,NA,2.60667390623181
"29",2019-01-21,2019-02-04,2,0.142295193366311,2019-01-28,1,2019,14,2.74896909959812
"30",NA,NA,0,0.143059581627371,NA,NA,NA,NA,2.89202868122549
"31",NA,NA,0,0.150571275853738,NA,NA,NA,NA,3.04259995707923
"32",2019-05-06,2019-05-17,2,0.157609319848334,2019-05-12,5,2019,11,3.20020927692757
"33",2019-01-26,2019-02-25,2,0.173112127976026,2019-02-10,2,2019,30,3.37332140490359
"34",NA,NA,0,0.174204196433141,NA,NA,NA,NA,3.54752560133673
"35",2017-02-01,2017-02-09,2,0.182352892567217,2017-02-05,2,2017,8,3.72987849390395
"36",2017-02-15,2017-02-23,1,0.182934341374593,2017-02-19,2,2017,8,3.91281283527854
"37",2017-01-10,2017-01-22,2,0.187375880999677,2017-01-16,1,2017,12,4.10018871627822
"38",2017-01-30,2017-02-22,2,0.188156627675518,2017-02-11,2,2017,23,4.28834534395374
"39",2018-03-12,2018-03-14,2,0.193033840130828,2018-03-13,3,2018,2,4.48137918408457
"40",2017-01-30,2017-02-22,2,0.200796672416735,2017-02-11,2,2017,23,4.6821758565013
"41",2017-04-11,2017-04-29,2,0.201964988003345,2017-04-20,4,2017,18,4.88414084450465
"42",2016-02-21,2016-03-12,2,0.206098307494633,2016-03-02,3,2016,20,5.09023915199928
"43",2018-02-18,2018-02-25,2,0.210276875027176,2018-02-22,2,2018,7,5.30051602702645
"44",2018-02-18,2018-02-22,2,0.212694814531691,2018-02-20,2,2018,4,5.51321084155815
"45",2018-03-01,2018-03-09,2,0.218051903038751,2018-03-05,3,2018,8,5.7312627445969
"46",2018-02-14,2018-02-22,2,0.224196907081339,2018-02-18,2,2018,8,5.95545965167824
"47",2017-01-29,2017-02-24,2,0.227475176542078,2017-02-11,2,2017,26,6.18293482822031
"48",2017-01-29,2017-02-20,2,0.227919761796639,2017-02-09,2,2017,22,6.41085459001695
"49",2017-01-29,2017-02-22,2,0.228186473813653,2017-02-10,2,2017,24,6.63904106383061
"50",2017-01-29,2017-02-20,1,0.242238468555384,2017-02-09,2,2017,22,6.88127953238599
"51",NA,NA,0,0.247934232078111,NA,NA,NA,NA,7.1292137644641
"52",2018-01-29,2018-02-03,2,0.250285010999232,2018-01-31,1,2018,5,7.37949877546333
"53",2018-02-03,2018-02-10,2,0.251373160094861,2018-02-07,2,2018,7,7.63087193555819
"54",2018-09-03,2018-09-10,2,0.270285537052248,2018-09-07,9,2018,7,7.90115747261044
"55",2018-03-09,2018-04-17,2,0.272247833905346,2018-03-29,3,2018,39,8.17340530651579
"56",2019-04-11,2019-05-24,2,0.272270916400012,2019-05-03,5,2019,43,8.4456762229158
"57",2017-02-28,2017-04-18,2,0.278815989303589,2017-03-24,3,2017,49,8.72449221221939
"58",2018-08-18,2018-08-23,2,0.280370172593021,2018-08-20,8,2018,5,9.00486238481241
"59",2017-05-18,2017-06-16,2,0.281712041534204,2017-06-01,6,2017,29,9.28657442634661
"60",2017-09-03,2017-09-22,2,0.282298577617109,2017-09-13,9,2017,19,9.56887300396372
"61",2019-01-15,2019-01-17,2,0.291294292114303,2019-01-16,1,2019,2,9.86016729607802
